Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Albania","Production","Wine","2016","tonnes","17800"
"Crops and livestock products","Albania","Production","Wine","2017","tonnes","16868"
"Crops and livestock products","Albania","Production","Wine","2018","tonnes","15290"
"Crops and livestock products","Albania","Production","Wine","2019","tonnes","15925"
"Crops and livestock products","Algeria","Production","Wine","2016","tonnes","6594"
"Crops and livestock products","Algeria","Production","Wine","2017","tonnes","22733"
"Crops and livestock products","Algeria","Production","Wine","2018","tonnes","19251"
"Crops and livestock products","Algeria","Production","Wine","2019","tonnes","20830"
"Crops and livestock products","Argentina","Production","Wine","2016","tonnes","944650"
"Crops and livestock products","Argentina","Production","Wine","2017","tonnes","1182111"
"Crops and livestock products","Argentina","Production","Wine","2018","tonnes","1452151"
"Crops and livestock products","Argentina","Production","Wine","2019","tonnes","1301947"
"Crops and livestock products","Armenia","Production","Wine","2016","tonnes","6810"
"Crops and livestock products","Armenia","Production","Wine","2017","tonnes","8853"
"Crops and livestock products","Armenia","Production","Wine","2018","tonnes","9672"
"Crops and livestock products","Armenia","Production","Wine","2019","tonnes","12750"
"Crops and livestock products","Australia","Production","Wine","2016","tonnes","1299000"
"Crops and livestock products","Australia","Production","Wine","2017","tonnes","1369000"
"Crops and livestock products","Australia","Production","Wine","2018","tonnes","1285000"
"Crops and livestock products","Australia","Production","Wine","2019","tonnes","1197000"
"Crops and livestock products","Austria","Production","Wine","2016","tonnes","195253"
"Crops and livestock products","Austria","Production","Wine","2017","tonnes","248571"
"Crops and livestock products","Azerbaijan","Production","Wine","2016","tonnes","10493"
"Crops and livestock products","Azerbaijan","Production","Wine","2017","tonnes","11305"
"Crops and livestock products","Azerbaijan","Production","Wine","2018","tonnes","15743"
"Crops and livestock products","Azerbaijan","Production","Wine","2019","tonnes","8773"
"Crops and livestock products","Belarus","Production","Wine","2016","tonnes","27430"
"Crops and livestock products","Belarus","Production","Wine","2017","tonnes","30990"
"Crops and livestock products","Belarus","Production","Wine","2018","tonnes","31950"
"Crops and livestock products","Belarus","Production","Wine","2019","tonnes","33970"
"Crops and livestock products","Belgium","Production","Wine","2016","tonnes","18492"
"Crops and livestock products","Belgium","Production","Wine","2017","tonnes","18424"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2016","tonnes","8335"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2017","tonnes","8376"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2018","tonnes","6737"
"Crops and livestock products","Bolivia (Plurinational State of)","Production","Wine","2019","tonnes","7054"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2016","tonnes","4579"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2017","tonnes","5546"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2018","tonnes","6046"
"Crops and livestock products","Bosnia and Herzegovina","Production","Wine","2019","tonnes","6042"
"Crops and livestock products","Brazil","Production","Wine","2016","tonnes","130000"
"Crops and livestock products","Brazil","Production","Wine","2017","tonnes","371237"
"Crops and livestock products","Brazil","Production","Wine","2018","tonnes","390806"
"Crops and livestock products","Brazil","Production","Wine","2019","tonnes","378772"
"Crops and livestock products","Bulgaria","Production","Wine","2016","tonnes","133398"
"Crops and livestock products","Bulgaria","Production","Wine","2017","tonnes","119309"
"Crops and livestock products","Bulgaria","Production","Wine","2018","tonnes","117018"
"Crops and livestock products","Canada","Production","Wine","2016","tonnes","63776"
"Crops and livestock products","Canada","Production","Wine","2017","tonnes","70433"
"Crops and livestock products","Canada","Production","Wine","2018","tonnes","70286"
"Crops and livestock products","Canada","Production","Wine","2019","tonnes","69196"
"Crops and livestock products","Chile","Production","Wine","2016","tonnes","1014362"
"Crops and livestock products","Chile","Production","Wine","2017","tonnes","949206"
"Crops and livestock products","Chile","Production","Wine","2018","tonnes","1289897"
"Crops and livestock products","Chile","Production","Wine","2019","tonnes","1193876"
"Crops and livestock products","China","Production","Wine","2016","tonnes","1843696"
"Crops and livestock products","China","Production","Wine","2017","tonnes","1899349"
"Crops and livestock products","China","Production","Wine","2018","tonnes","1985741"
"Crops and livestock products","China","Production","Wine","2019","tonnes","2065561"
"Crops and livestock products","China, mainland","Production","Wine","2016","tonnes","1843696"
"Crops and livestock products","China, mainland","Production","Wine","2017","tonnes","1899349"
"Crops and livestock products","China, mainland","Production","Wine","2018","tonnes","1985741"
"Crops and livestock products","China, mainland","Production","Wine","2019","tonnes","2065561"
"Crops and livestock products","Colombia","Production","Wine","2016","tonnes","2071"
"Crops and livestock products","Colombia","Production","Wine","2017","tonnes","2150"
"Crops and livestock products","Colombia","Production","Wine","2018","tonnes","2367"
"Crops and livestock products","Colombia","Production","Wine","2019","tonnes","2572"
"Crops and livestock products","Croatia","Production","Wine","2016","tonnes","48489"
"Crops and livestock products","Croatia","Production","Wine","2017","tonnes","46089"
"Crops and livestock products","Croatia","Production","Wine","2018","tonnes","53400"
"Crops and livestock products","Cuba","Production","Wine","2016","tonnes","11660"
"Crops and livestock products","Cuba","Production","Wine","2017","tonnes","11980"
"Crops and livestock products","Cuba","Production","Wine","2018","tonnes","11400"
"Crops and livestock products","Cuba","Production","Wine","2019","tonnes","10600"
"Crops and livestock products","Cyprus","Production","Wine","2016","tonnes","6935"
"Crops and livestock products","Cyprus","Production","Wine","2017","tonnes","8251"
"Crops and livestock products","Czechia","Production","Wine","2016","tonnes","81900"
"Crops and livestock products","Czechia","Production","Wine","2017","tonnes","63100"
"Crops and livestock products","Czechia","Production","Wine","2018","tonnes","64500"
"Crops and livestock products","Czechia","Production","Wine","2019","tonnes","68000"
"Crops and livestock products","Egypt","Production","Wine","2016","tonnes","5848"
"Crops and livestock products","Egypt","Production","Wine","2017","tonnes","6006"
"Crops and livestock products","Egypt","Production","Wine","2018","tonnes","5676"
"Crops and livestock products","Egypt","Production","Wine","2019","tonnes","5413"
"Crops and livestock products","Estonia","Production","Wine","2016","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2017","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2018","tonnes",""
"Crops and livestock products","Estonia","Production","Wine","2019","tonnes",""
"Crops and livestock products","Ethiopia","Production","Wine","2016","tonnes","812"
"Crops and livestock products","Ethiopia","Production","Wine","2017","tonnes","804"
"Crops and livestock products","Ethiopia","Production","Wine","2018","tonnes","778"
"Crops and livestock products","Ethiopia","Production","Wine","2019","tonnes","743"
"Crops and livestock products","France","Production","Wine","2016","tonnes","4504383"
"Crops and livestock products","France","Production","Wine","2017","tonnes","3637009"
"Crops and livestock products","France","Production","Wine","2018","tonnes","4888791"
"Crops and livestock products","France","Production","Wine","2019","tonnes","4165524"
"Crops and livestock products","Georgia","Production","Wine","2016","tonnes","90005"
"Crops and livestock products","Georgia","Production","Wine","2017","tonnes","87018"
"Crops and livestock products","Georgia","Production","Wine","2018","tonnes","113969"
"Crops and livestock products","Georgia","Production","Wine","2019","tonnes","138060"
"Crops and livestock products","Germany","Production","Wine","2016","tonnes","578692"
"Crops and livestock products","Germany","Production","Wine","2017","tonnes","626532"
"Crops and livestock products","Germany","Production","Wine","2018","tonnes","633424"
"Crops and livestock products","Greece","Production","Wine","2016","tonnes","302493"
"Crops and livestock products","Greece","Production","Wine","2017","tonnes","297556"
"Crops and livestock products","Greece","Production","Wine","2018","tonnes","300031"
"Crops and livestock products","Greece","Production","Wine","2019","tonnes","280336"
"Crops and livestock products","Hungary","Production","Wine","2016","tonnes","302379"
"Crops and livestock products","Hungary","Production","Wine","2017","tonnes","358132"
"Crops and livestock products","Hungary","Production","Wine","2018","tonnes","355184"
"Crops and livestock products","Hungary","Production","Wine","2019","tonnes","306200"
"Crops and livestock products","Iceland","Production","Wine","2016","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2017","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2018","tonnes",""
"Crops and livestock products","Iceland","Production","Wine","2019","tonnes","0"
"Crops and livestock products","Israel","Production","Wine","2016","tonnes","2819"
"Crops and livestock products","Israel","Production","Wine","2017","tonnes","3059"
"Crops and livestock products","Israel","Production","Wine","2018","tonnes","2801"
"Crops and livestock products","Israel","Production","Wine","2019","tonnes","2719"
"Crops and livestock products","Italy","Production","Wine","2016","tonnes","5161546"
"Crops and livestock products","Italy","Production","Wine","2017","tonnes","4382936"
"Crops and livestock products","Italy","Production","Wine","2018","tonnes","5415000"
"Crops and livestock products","Italy","Production","Wine","2019","tonnes","4922500"
"Crops and livestock products","Japan","Production","Wine","2016","tonnes","80552"
"Crops and livestock products","Japan","Production","Wine","2017","tonnes","78615"
"Crops and livestock products","Japan","Production","Wine","2018","tonnes","79807"
"Crops and livestock products","Japan","Production","Wine","2019","tonnes","82956"
"Crops and livestock products","Jordan","Production","Wine","2016","tonnes","400"
"Crops and livestock products","Jordan","Production","Wine","2017","tonnes","573"
"Crops and livestock products","Jordan","Production","Wine","2018","tonnes","375"
"Crops and livestock products","Jordan","Production","Wine","2019","tonnes","419"
"Crops and livestock products","Kazakhstan","Production","Wine","2016","tonnes","29853"
"Crops and livestock products","Kazakhstan","Production","Wine","2017","tonnes","32697"
"Crops and livestock products","Kazakhstan","Production","Wine","2018","tonnes","50105"
"Crops and livestock products","Kazakhstan","Production","Wine","2019","tonnes","44479"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2016","tonnes","2408"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2017","tonnes","2834"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2018","tonnes","5640"
"Crops and livestock products","Kyrgyzstan","Production","Wine","2019","tonnes","3797"
"Crops and livestock products","Latvia","Production","Wine","2016","tonnes","2534"
"Crops and livestock products","Latvia","Production","Wine","2017","tonnes","3237"
"Crops and livestock products","Lebanon","Production","Wine","2016","tonnes","10666"
"Crops and livestock products","Lebanon","Production","Wine","2017","tonnes","9504"
"Crops and livestock products","Lebanon","Production","Wine","2018","tonnes","8666"
"Crops and livestock products","Lebanon","Production","Wine","2019","tonnes","8887"
"Crops and livestock products","Libya","Production","Wine","2016","tonnes","0"
"Crops and livestock products","Libya","Production","Wine","2017","tonnes","0"
"Crops and livestock products","Libya","Production","Wine","2018","tonnes","0"
"Crops and livestock products","Lithuania","Production","Wine","2016","tonnes","4812"
"Crops and livestock products","Lithuania","Production","Wine","2017","tonnes","4091"
